,labels,species_name
0,0,acinetobacter_baumannii
1964,1,burkholderia_pseudomallei
5497,2,campylobacter_jejuni
6329,3,clostridioides_difficile
8336,4,corynebacterium_diphtheriae
9530,5,corynebacterium_ulcerans
10796,7,klebsiella_michiganensis
13785,8,klebsiella_pneumoniae
16591,9,legionella_pneumophila
18344,10,listeria_monocytogenes
19823,11,mycobacterium_tuberculosis
21998,12,mycobacterium_ulcerans
24908,13,neisseria_gonorrhoeae
25995,14,pseudomonas_aeruginosa
29121,15,salmonella_enterica_typhimurium
31628,16,serratia_liquefaciens
34257,17,staphylococcus_aureus
35641,18,staphylococcus_pseudintermedius
36969,19,staphylococcus_pyogenes
37825,20,stenotrophomonas_maltophilia
40042,21,streptococcus_agalactiae
41102,22,streptococcus_pneumoniae
42158,23,streptococcus_suis
43250,24,vibrio_parahaemolyticus
45829,25,yersinia_enterocolitica
48105,6,decoy
